"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United Kingdom","289 Finvoy Road",5.9,54.9638,-6.493,"Solar"
"United Kingdom","30 Acres",4.965,53.2062,-1.1968,"Solar"
"United Kingdom","AMBLESTON SOLAR PANELS",6,51.8992,-4.8665,"Solar"
"United Kingdom","Abbey Farm",9,52.4193,-0.2366,"Solar"
"United Kingdom","Abbey Fields Farm",5.3,51.3187,0.9029,"Solar"
"United Kingdom","Abbots Ann",7,51.1636,-1.5123,"Solar"
"United Kingdom","Abbots Ripton",24.66717,52.3787,-0.1982,"Solar"
"United Kingdom","Abbots Ripton Solar Farm (ext.)",3.9,52.3726,-0.1943,"Solar"
"United Kingdom","Abergelli",7.68222,51.7007,-3.9476,"Solar"
"United Kingdom","Aberporth Solar Farm",1.5,52.1234,-4.5632,"Solar"
"United Kingdom","Agricultural Land at Trecastle",4,51.5238,-3.4252,"Solar"
"United Kingdom","Airfield Farm PV",5,52.4746,0.9501,"Solar"
"United Kingdom","Alan Bartlett & Sons Solar",1.2,52.4511,0.0379,"Solar"
"United Kingdom","Albrighton Solar farm",15.8,52.6395,-2.2507,"Solar"
"United Kingdom","Aldi - Cardiff",1.5,51.5002,-3.1181,"Solar"
"United Kingdom","Aldi Distribution Centre",1.3,55.8787,-3.6482,"Solar"
"United Kingdom","Aldi Distribution Centre - Darlington",1.2,54.5485,-1.5739,"Solar"
"United Kingdom","Aldi Distribution Centre - Neston",1.2,53.2894,-3.0322,"Solar"
"United Kingdom","Aller Court Farm Solar Park",5,51.0576,-2.8652,"Solar"
"United Kingdom","Amcor Flexibles",1.7,51.5224,-2.5266,"Solar"
"United Kingdom","Andover Solar Farm",5,51.2112,-1.5364,"Solar"
"United Kingdom","Anthony Estate Solar Farm - resubmission",4.7,50.3502,-4.2498,"Solar"
"United Kingdom","Arkwright Solar Farm",8,53.2479,-1.3464,"Solar"
"United Kingdom","Arna Wood Solar",6.2,54.0223,-2.8228,"Solar"
"United Kingdom","Ashby",4.954,52.7227,-1.4853,"Solar"
"United Kingdom","Ashlawn Farm",6.8,51.2557,-2.9041,"Solar"
"United Kingdom","Askern",4.9737,53.6208,-1.1602,"Solar"
"United Kingdom","Aspatria",19,54.778,-3.3241,"Solar"
"United Kingdom","Astley Solar Farm",5,52.4672,-2.3239,"Solar"
"United Kingdom","Aston House Solar Farm",20,52.8817,-1.743,"Solar"
