MSN,YYYYMM,Value,Description,Unit
SOTCBUS,201101,5.63,Solar Energy Consumption,Trillion Btu
SOTCBUS,201102,6.481,Solar Energy Consumption,Trillion Btu
SOTCBUS,201103,8.976,Solar Energy Consumption,Trillion Btu
SOTCBUS,201104,10.177,Solar Energy Consumption,Trillion Btu
SOTCBUS,201105,11.328,Solar Energy Consumption,Trillion Btu
SOTCBUS,201106,11.726,Solar Energy Consumption,Trillion Btu
SOTCBUS,201107,11.894,Solar Energy Consumption,Trillion Btu
SOTCBUS,201108,12.159,Solar Energy Consumption,Trillion Btu
SOTCBUS,201109,10.864,Solar Energy Consumption,Trillion Btu
SOTCBUS,201110,9.8,Solar Energy Consumption,Trillion Btu
SOTCBUS,201111,7.816,Solar Energy Consumption,Trillion Btu
SOTCBUS,201112,7.601,Solar Energy Consumption,Trillion Btu
SOTCBUS,201201,7.466,Solar Energy Consumption,Trillion Btu
SOTCBUS,201202,8.357,Solar Energy Consumption,Trillion Btu
SOTCBUS,201203,11.942,Solar Energy Consumption,Trillion Btu
SOTCBUS,201204,13.77,Solar Energy Consumption,Trillion Btu
SOTCBUS,201205,16.255,Solar Energy Consumption,Trillion Btu
SOTCBUS,201206,16.975,Solar Energy Consumption,Trillion Btu
SOTCBUS,201207,17.404,Solar Energy Consumption,Trillion Btu
SOTCBUS,201208,16.816,Solar Energy Consumption,Trillion Btu
SOTCBUS,201209,15.692,Solar Energy Consumption,Trillion Btu
SOTCBUS,201210,14.434,Solar Energy Consumption,Trillion Btu
SOTCBUS,201211,11.777,Solar Energy Consumption,Trillion Btu
SOTCBUS,201212,11.361,Solar Energy Consumption,Trillion Btu
SOTCBUS,201301,10.475,Solar Energy Consumption,Trillion Btu
SOTCBUS,201302,12.233,Solar Energy Consumption,Trillion Btu
SOTCBUS,201303,17.077,Solar Energy Consumption,Trillion Btu
SOTCBUS,201304,18.669,Solar Energy Consumption,Trillion Btu
SOTCBUS,201305,20.769,Solar Energy Consumption,Trillion Btu
SOTCBUS,201306,22.017,Solar Energy Consumption,Trillion Btu
SOTCBUS,201307,22.3,Solar Energy Consumption,Trillion Btu
SOTCBUS,201308,23.25,Solar Energy Consumption,Trillion Btu
SOTCBUS,201309,22.042,Solar Energy Consumption,Trillion Btu
SOTCBUS,201310,21.261,Solar Energy Consumption,Trillion Btu
SOTCBUS,201311,17.577,Solar Energy Consumption,Trillion Btu
SOTCBUS,201312,17.328,Solar Energy Consumption,Trillion Btu
SOTCBUS,201401,16.542,Solar Energy Consumption,Trillion Btu
SOTCBUS,201402,17.939,Solar Energy Consumption,Trillion Btu
SOTCBUS,201403,26.187,Solar Energy Consumption,Trillion Btu
SOTCBUS,201404,29.029,Solar Energy Consumption,Trillion Btu
SOTCBUS,201405,33.086,Solar Energy Consumption,Trillion Btu
SOTCBUS,201406,34.867,Solar Energy Consumption,Trillion Btu
SOTCBUS,201407,34.299,Solar Energy Consumption,Trillion Btu
SOTCBUS,201408,35.031,Solar Energy Consumption,Trillion Btu
SOTCBUS,201409,33.184,Solar Energy Consumption,Trillion Btu
SOTCBUS,201410,30.86,Solar Energy Consumption,Trillion Btu
SOTCBUS,201411,25.046,Solar Energy Consumption,Trillion Btu
SOTCBUS,201412,21.35,Solar Energy Consumption,Trillion Btu
SOTCBUS,201501,21.048,Solar Energy Consumption,Trillion Btu
SOTCBUS,201502,25.062,Solar Energy Consumption,Trillion Btu
SOTCBUS,201503,34.925,Solar Energy Consumption,Trillion Btu
SOTCBUS,201504,39.575,Solar Energy Consumption,Trillion Btu
SOTCBUS,201505,42.535,Solar Energy Consumption,Trillion Btu
SOTCBUS,201506,43.229,Solar Energy Consumption,Trillion Btu
SOTCBUS,201507,44.959,Solar Energy Consumption,Trillion Btu
SOTCBUS,201508,45.266,Solar Energy Consumption,Trillion Btu
SOTCBUS,201509,38.976,Solar Energy Consumption,Trillion Btu
SOTCBUS,201510,34.293,Solar Energy Consumption,Trillion Btu
SOTCBUS,201511,29.646,Solar Energy Consumption,Trillion Btu
