"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United States of America","12 Applegate Solar LLC",1.9,40.2003,-74.5761,"Solar"
"United States of America","126 Grove Solar LLC",2,42.0761,-71.4227,"Solar"
"United States of America","1420 Coil Av #C",1.3,33.7943,-118.2414,"Solar"
"United States of America","145 Talmadge Solar",3.8,40.5358,-74.3913,"Solar"
"United States of America","158th Fighter Wing Solar Farm",1.3,44.4777,-73.1534,"Solar"
"United States of America","180 Raritan Solar",1.9,40.5161,-74.34,"Solar"
"United States of America","201 Sturbridge B",2,42.1091,-72.1712,"Solar"
"United States of America","205 Sturbridge A",3,42.1093,-72.1705,"Solar"
"United States of America","2081 Terzian Solar Project",1.2,36.67,-119.4158,"Solar"
"United States of America","2097 Helton Solar Project",1.5,37.3522,-120.5069,"Solar"
"United States of America","2127 Harris Solar Project",1.3,39.2917,-121.6697,"Solar"
"United States of America","231 Dixon 74 Solar I  LLC",2,35.2441,-81.4304,"Solar"
"United States of America","24 Applegate Solar LLC",4.9,40.2058,-74.5797,"Solar"
"United States of America","2555 E Olympic Bl",1,34.0269,-118.2242,"Solar"
"United States of America","265 Pleasant Solar NG  LLC",2.2,42.5814,-71.7622,"Solar"
"United States of America","301 Chestnut Solar NG",4.3,42.0552,-72.5218,"Solar"
"United States of America","350 Clark Solar  NG  LLC",1.8,40.8942,-74.7302,"Solar"
"United States of America","4 Applegate Solar LLC",1.8,40.1964,-74.5836,"Solar"
"United States of America","433 Purchase Solar NG  LLC",2.5,41.8094,-71.1922,"Solar"
"United States of America","4Oaks",5,35.4325,-78.4117,"Solar"
"United States of America","500 Virginia Solar",1,40.1392,-75.1917,"Solar"
"United States of America","510 REPP One",1.3,36.4972,-77.6058,"Solar"
"United States of America","651 Chase Solar NG",2.5,42.6267,-71.7428,"Solar"
"United States of America","ABD Farms",5,35.7287,-79.7483,"Solar"
"United States of America","AC Criminal Courts Complex SPE2  LLC",1.3,39.4375,-74.6906,"Solar"
"United States of America","ACCC Mays Landing",1.4,39.4606,-74.6809,"Solar"
"United States of America","ACE-Stanton A PV",4.1,28.4845,-81.1741,"Solar"
"United States of America","ACE-Stanton PV",4.8,28.4774,-81.1804,"Solar"
"United States of America","AEP Jacksonville Solar Project",7.1,30.5236,-81.6864,"Solar"
"United States of America","AES Ilumina",24,17.9468,-66.1591,"Solar"
"United States of America","AFA Solar Farm",5.5,38.9579,-104.8066,"Solar"
"United States of America","AIS Solar Project",2.5,42.5019,-71.7378,"Solar"
"United States of America","AM Best Farm",5,35.4189,-77.9856,"Solar"
"United States of America","AMP Napoleon Solar Facility",3.5,41.4067,-84.1108,"Solar"
