Data_Status,State,MSN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020,US,ABICB,10,-5,-379,-141,-348,-293,-192,-1555,-1191,-787
2020,US,ABICP,2,-1,-75,-28,-69,-58,-38,-308,-236,-156
2020,US,ARICB,859488,826700,783347,792637,831663,853363,849182,792763,843880,832274
2020,US,ARICP,129519,124578,118045,119445,125326,128596,127966,119464,127167,125418
2020,US,ARTCB,859488,826700,783347,792637,831663,853363,849182,792763,843880,832274
2020,US,ARTCP,129519,124578,118045,119445,125326,128596,127966,119464,127167,125418
2020,US,ARTXB,859488,826700,783347,792637,831663,853363,849182,792763,843880,832274
2020,US,ARTXP,129519,124578,118045,119445,125326,128596,127966,119464,127167,125418
2020,US,AVACB,27057,25114,22358,21696,21141,20465,20949,22393,23387,20202
2020,US,AVACP,5360,4975,4429,4298,4188,4054,4150,4436,4633,4002
2020,US,AVTCB,27057,25114,22358,21696,21141,20465,20949,22393,23387,20202
2020,US,AVTCP,5360,4975,4429,4298,4188,4054,4150,4436,4633,4002
2020,US,AVTXB,27057,25114,22358,21696,21141,20465,20949,22393,23387,20202
2020,US,AVTXP,5360,4975,4429,4298,4188,4054,4150,4436,4633,4002
2020,US,BDACB,113071,114714,182313,180784,190648,266092,253312,242904,231310,239412
2020,US,BDACP,21099,21406,34020,33735,35575,49653,47269,45326,43163,44675
2020,US,BDLCB,1705,1746,2395,2253,2226,2762,2811,3272,3038,3197
2020,US,BDTCB,113071,114714,182313,180784,190648,266092,253312,242904,231310,239412
2020,US,BDTCP,21099,21406,34020,33735,35575,49653,47269,45326,43163,44675
2020,US,BFLCB,755698,710872,713630,766475,790571,820821,847154,855234,834983,735148
2020,US,BFTCB,1933403,1889433,1987769,2058547,2134273,2273794,2299591,2294769,2272571,2024089
2020,US,BMTCB,4608415,4507251,4822460,4975501,4964412,5003589,4979821,5044130,4952354,4528483
2020,US,BQICB,107136,122276,187558,186108,203877,133089,61003,55331,80243,-17072
2020,US,BQICP,24612,28090,43087,42754,46836,30574,14014,12711,18434,-3922
2020,US,BQTCB,107136,122276,187558,186108,203877,133089,61003,55331,80243,-17072
2020,US,BQTCP,24612,28090,43087,42754,46836,30574,14014,12711,18434,-3922
2020,US,BYICB,889,626,-5563,2486,-8610,-3847,5257,13547,26,-5694
2020,US,BYICP,203,143,-1271,568,-1967,-879,1201,3095,6,-1301
2020,US,BYTCB,889,626,-5563,2486,-8610,-3847,5257,13547,26,-5694
2020,US,BYTCP,203,143,-1271,568,-1967,-879,1201,3095,6,-1301
2020,US,CCEXB,24058,24162,20833,23461,21251,24808,30048,28549,23990,16949
2020,US,CCEXP,970,974,840,946,857,1000,1212,1151,967,683
2020,US,CCIMB,35162,28146,3411,1901,3470,5669,1450,2895,2868,4010
2020,US,CCIMP,1418,1135,138,77,140,229,58,117,116,162
2020,US,CCNIB,11104,3983,-17422,-21560,-17781,-19139,-28598,-25654,-21122,-12939
2020,US,CCNIP,448,161,-703,-869,-717,-772,-1153,-1034,-852,-522
2020,US,CLCCB,61732,43654,41479,40461,31071,24027,20807,18772,16714,14481
2020,US,CLCCP,2793,2045,1951,1887,1503,1183,1061,972,876,793
2020,US,CLEIB,18035415,15821257,16450431,16427232,14138235,12996648,12622220,12053020,10181470,8229142
2020,US,CLEIK,19.341,19.211,19.174,19.29,19.146,19.153,18.981,18.915,18.903,18.882
2020,US,CLEIP,932484,823551,857962,851602,738444,678554,664993,637217,538606,435827
2020,US,CLHCK,22.105,21.35,21.259,21.442,20.667,20.316,19.608,19.321,19.082,18.258
2020,US,CLICB,1566710,1516013,1546861,1528884,1379678,1206462,1196605,1178166,1116741,939074
2020,US,CLICP,67671,63589,64529,64243,58167,51333,50801,49917,47062,40073
2020,US,CLKCB,563997,594238,616422,606019,562064,471626,502867,524533,514538,413420
2020,US,CLKCK,26.313,28.636,28.706,28.456,28.519,28.61,28.674,28.606,28.639,28.683
2020,US,CLKCP,21434,20751,21474,21297,19708,16485,17538,18337,17967,14414
2020,US,CLOCB,1002713,921775,930439,922865,817615,734836,693739,653633,602203,525654
2020,US,CLOCK,21.686,21.518,21.611,21.489,21.26,21.086,20.856,20.698,20.698,20.486
2020,US,CLOCP,46238,42838,43055,42946,38459,34849,33264,31580,29095,25660
2020,US,CLTCB,19663856,17380923,18038771,17996577,15548985,14227138,13839632,13249958,11314925,9182696
2020,US,CLTCP,1002948,889185,924442,917732,798115,731071,716856,688105,586543,476693
2020,US,CLTXB,1628442,1559666,1588340,1569345,1410749,1230490,1217412,1196938,1133455,953555
2020,US,CLTXP,70464,65634,66480,66130,59671,52516,51863,50888,47938,40866
2020,US,DFACB,5999681,5738306,5898360,6158652,6255035,6202233,6252857,6554711,6572260,6182862
2020,US,DFACP,1039806,995024,1023488,1068654,1085567,1077338,1086131,1138168,1141216,1074160
2020,US,DFCCB,391040,354730,342887,355908,359337,325260,321865,322330,326551,275626
2020,US,DFCCP,67771,61510,59498,61757,62363,56498,55908,55970,56703,47885
2020,US,DFEIB,63589,52367,55314,82034,70254,54750,54583,80435,53767,44167
2020,US,DFEIP,11021,9080,9598,14235,12193,9510,9481,13967,9336,7673
2020,US,DFICB,1234723,1269939,1263985,1363666,1167604,1153827,1202168,1250777,1203423,1065466
2020,US,DFICP,213990,220208,219328,236624,202639,200422,208819,217186,208964,185105
2020,US,DFRCB,522150,481746,490509,532068,550275,433539,431255,506421,469604,407335
2020,US,DFRCP,90494,83535,85113,92325,95501,75306,74910,87936,81543,70767
2020,US,DFTCB,8211183,7897088,8051055,8492328,8402506,8169609,8262728,8714674,8625606,7975456
2020,US,DFTCK,5.77,5.767,5.763,5.763,5.762,5.757,5.757,5.759,5.759,5.756
2020,US,DFTCP,1423082,1369358,1397025,1473595,1458262,1419074,1435249,1513227,1497761,1385590
2020,US,DFTXB,8147594,7844720,7995741,8410294,8332252,8114859,8208145,8634239,8571838,7931289
2020,US,DFTXP,1412061,1360278,1387427,1459360,1446069,1409564,1425768,1499260,1488425,1377917
